Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"0.00"
Total credits,,"1,790,055.98"
Total debits,,"-1,743,274.93"
Ending balance as of 06/24/2026,,"46,781.05"

Date,Description,Amount,Running Bal.
03/09/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-15.00","26,537.41"
03/09/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-15.00","26,522.41"
03/09/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-15.00","26,507.41"
03/10/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:5UX2 3EU06S9W25247 ,2025-B M W-X SERIES ,","-10,000.00","16,507.41"
03/10/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,Audit Fe e 2026/02/12 00:00:00.000 ,","-125.00","16,382.41"
03/13/2026,"Counter Credit","86,285.93","102,668.34"
03/13/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","8,114.05","110,782.39"
03/13/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-9,619.90","101,162.49"
03/13/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-8,260.57","92,901.92"
03/13/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-3,422.87","89,479.05"
03/16/2026,"Counter Credit","20,900.00","110,379.05"
03/17/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-2,629.65","107,749.40"
03/17/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,699.31","106,050.09"
03/17/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,630.79","104,419.30"
03/17/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-972.75","103,446.55"
03/18/2026,"MOBILE COMMERCE DES:ACH Pmt ID:11211348996 INDN:ICAR LIFESTYLE CO ID:9200502235 CCD PMT INFO:1GKS2GKD5RR179449 Down payment -2","4,000.00","107,446.55"
03/18/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:5UX2 3EU06S9W25247 ,2025-B M W-X SERIES ,","-10,000.00","97,446.55"
03/18/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-3,598.86","93,847.69"
03/19/2026,"Counter Credit","14,700.00","108,547.69"
03/19/2026,"CITY OF ARCADIA PARKING 03/17 PURCHASE 626-5745465 CA DEBIT CARD *0230","-80.00","108,467.69"
03/20/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:5UX2 3EU06S9W25247 ,2025-B M W-X SERIES ,","-11,103.65","97,364.04"
03/20/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,Audit FE E 2026/03/05 00:00:00.000 ,","-125.00","97,239.04"
03/24/2026,"Check 1001","-15,700.00","81,539.04"
03/24/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-15,483.57","66,055.47"
03/25/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-48,913.87","17,141.60"
03/25/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:W1N0 G8DB3NG093397 ,2022-Mercedes-Benz-GLC ,","-10,999.02","6,142.58"
03/26/2026,"ACCT ORDER00318 DES:FEE ID:2HPQ9844 INDN:ATTITUDE D LLC CO ID:0000000318 PPD PMT INFO: PRODUCT(S): 101.40 S&H: 56.35 CA TAX: 16.57","-174.32","5,968.26"
03/30/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","32,000.00","37,968.26"
03/31/2026,"Counter Credit","22,178.09","60,146.35"
03/31/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","7,635.71","67,782.06"
04/01/2026,"BKOFAMERICA MOBILE 04/02 3604739751 DEPOSIT *MOBILE CA","6,600.00","74,382.06"
04/01/2026,"BKOFAMERICA BC 04/01 #000002249 TO CHKG 336 E Huntington Arcadia CA","-46,512.62","27,869.44"
04/02/2026,"Counter Credit","20,000.00","47,869.44"
04/03/2026,"MANHEIM US DES:ACH PAYMNT ID:18546313 INDN:ICAR LIFESTYLE CO ID:1582577037 CCD","148,095.00","195,964.44"
04/03/2026,"Check 1051","-7,332.00","188,632.44"
04/03/2026,"Check 1052","-9,102.00","179,530.44"
04/06/2026,"Counter Credit","164,447.50","343,977.94"
04/06/2026,"WIRE TYPE:WIRE OUT DATE:260406 TIME:1356 ET TRN:2026040600388175 SERVICE REF:011942 BNF:FLAIR MOTORS LLC ID:1054147 BNF BK:GOLDEN BANK N.A. ID:113015500 PMT DET:TKAPX7WTN POP Trade rel ated /ACC/2023 Bentley","-127,425.00","216,552.94"
04/06/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-49,586.01","166,966.93"
04/06/2026,"Wire Transfer Fee","-30.00","166,936.93"
04/07/2026,"Zelle payment to DISCOUNTPRO Conf# kno8gcko6","-80.00","166,856.93"
04/07/2026,"Check 1008","-12,030.25","154,826.68"
04/07/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE8PF620250 ,2023-Tesla-Model Y ,","-3,143.91","151,682.77"
04/07/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:5YJY GAEE9MF172902 ,2021-Tesla-Model Y ,","-2,842.74","148,840.03"
04/07/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE1PF892526 ,2023-Tesla-Model Y ,","-2,702.03","146,138.00"
04/07/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:1GYS 3JKL0PR256216 ,2023-Cadillac-Escalade E,","-2,618.52","143,519.48"
04/08/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-32,325.45","111,194.03"
04/09/2026,"Counter Credit","36,956.00","148,150.03"
04/09/2026,"Check 1002","-1,000.00","147,150.03"
04/09/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE1PF892526 ,2023-Tesla-Model Y ,","-28,156.18","118,993.85"
04/09/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:W1N0 G8DB3NG093397 ,2022-Mercedes-Benz-GLC ,","-9,126.75","109,867.10"
04/10/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:1GYS 3JKL0PR256216 ,2023-Cadillac-Escalade E,","-35,452.26","74,414.84"
04/10/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-29,719.48","44,695.36"
04/10/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-28,943.78","15,751.58"
04/14/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-2,373.28","13,378.30"
04/14/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,788.29","11,590.01"
04/16/2026,"UEP*BEN CHILI 04/15 PURCHASE HACIENDA HEIG CA DEBIT CARD *0230","-151.33","11,438.68"
04/16/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,895.86","9,542.82"
04/17/2026,"Counter Credit","32,800.00","42,342.82"
04/17/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-2,690.13","39,652.69"
04/20/2026,"Zelle payment to xin dong for "tesla AC"; Conf# r8zjiy2ce","-638.44","39,014.25"
04/20/2026,"AMERICAN EXPRESS DES:ACH PMT ID:M5562 INDN:SHANGQI LI CO ID:1133133497 CCD","-19,313.63","19,700.62"
04/21/2026,"Check 1055","-1,146.06","18,554.56"
04/22/2026,"Zelle payment to weihao wu Conf# nhvx58zyk","-500.00","18,054.56"
04/22/2026,"Check 1056","-6,601.00","11,453.56"
04/23/2026,"BKOFAMERICA ATM 04/23 #000002318 DEPOSIT ARCADIA GATEWAY ARCADIA CA CKCD 4815880064150230","26,200.00","37,653.56"
04/23/2026,"Check 1004","-3,690.00","33,963.56"
04/23/2026,"Check 1053","-7.00","33,956.56"
04/24/2026,"Zelle payment to exact accounting Conf# l9bhhx8wa","-455.00","33,501.56"
04/27/2026,"Check 1029","-16,500.00","17,001.56"
04/28/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","17,963.84","34,965.40"
04/28/2026,"Zelle payment from ATTITUDE D LLC Conf# 0UB51PX4G","2,000.00","36,965.40"
04/28/2026,"Check 1057","-146.00","36,819.40"
04/28/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-13,579.33","23,240.07"
04/28/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-3,840.90","19,399.17"
04/29/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","54,450.00","73,849.17"
04/29/2026,"BKOFAMERICA BC 04/29 #000007259 WITHDRWL 1234 S Baldwin Av Arcadia CA","-52,100.00","21,749.17"
04/30/2026,"Counter Credit","20,000.00","41,749.17"
04/30/2026,"Check 1005","-722.00","41,027.17"
04/30/2026,"Check 1059","-22,500.00","18,527.17"
05/01/2026,"SHENZHEN MOLLYTE DES:PAYMENT ID:ITPNP0000Z0VALR INDN:ATTITUDE D LLC CO ID:24560291 CCD","65,528.79","84,055.96"
05/01/2026,"WIRE TYPE:WIRE IN DATE: 260501 TIME:1141 ET TRN:2026050100347324 SEQ:3650196120ES/026307 ORIG:LB ELECTRICAL SERVICES IN ID:756537871 SND BK:JPMORGAN CHASE BANK, NA ID:021000021 PMT DET:BOH OF 26/04/30 /CATPURP/CTRC /LOCINS/CTRC","10,000.00","94,055.96"
05/01/2026,"Check 1058","-2,205.00","91,850.96"
05/01/2026,"Check 1060","-1,362.34","90,488.62"
05/01/2026,"Check 1061","-1,362.34","89,126.28"
05/01/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $15","0.00","89,126.28"
05/04/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-37,921.92","51,204.36"
05/04/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-20,807.26","30,397.10"
05/05/2026,"USPS PO 050294 05/05 PURCHASE ARCADIA CA DEBIT CARD *0230","-107.55","30,289.55"
05/05/2026,"Check 1062","-1,537.15","28,752.40"
05/05/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-3,282.86","25,469.54"
05/05/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE8PF620250 ,2023-Tesla-Model Y ,","-2,278.76","23,190.78"
05/05/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:5YJY GAEE9MF172902 ,2021-Tesla-Model Y ,","-2,041.05","21,149.73"
05/06/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","81,500.00","102,649.73"
05/06/2026,"Counter Credit","34,000.00","136,649.73"
05/07/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","5,105.38","141,755.11"
05/07/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-81,988.80","59,766.31"
05/08/2026,"MOBILE COMMERCE DES:ACH Pmt ID:11218350479 INDN:ICAR LIFESTYLE CO ID:9200502235 CCD PMT INFO:1GNSKCKD8RR183751 down payment -1","3,000.00","62,766.31"
05/08/2026,"MANHEIM DES:ACH PAYMNT ID:ACH7325377 INDN:ICAR LIFESTYLE CO ID:1581936030 CCD PMT INFO:INV#102740475 \5512120 SALWZ2EF7FA517 52615LAND RANGE","-55.00","62,711.31"
05/08/2026,"ADESA INC. DES:FEES ID:4354345 INDN:ICAR *LIFESTYLE CO ID:0000393484 CCD","-50.00","62,661.31"
05/11/2026,"BKOFAMERICA MOBILE 05/12 3718869034 DEPOSIT *MOBILE CA","9,019.16","71,680.47"
05/11/2026,"BKOFAMERICA ATM 05/11 #000003946 DEPOSIT ARCADIA GATEWAY ARCADIA CA CKCD 4815880064150230","3,000.00","74,680.47"
05/11/2026,"Zelle payment from ATTITUDE D LLC Conf# 07BC1UXHV","2,500.00","77,180.47"
05/11/2026,"Check 1006","-10,612.00","66,568.47"
05/11/2026,"Check 1063","-232.19","66,336.28"
05/11/2026,"Check 1068","-8,044.00","58,292.28"
05/12/2026,"Zelle payment from PERIMETER LLC Conf# sqlm7irl5","4,000.00","62,292.28"
05/12/2026,"Zelle payment from ATTITUDE D LLC Conf# 0YB21LXHO","2,500.00","64,792.28"
05/12/2026,"BKOFAMERICA ATM 05/12 #000001627 DEPOSIT ARCADIA GATEWAY ARCADIA CA CKCD 4815880064150230","1,400.00","66,192.28"
05/12/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEF4PF867094 ,2023-TESLA-MODEL Y AWD ,","-31,324.68","34,867.60"
05/12/2026,"WASTE MANAGEMENT DES:PAYMENT ID:000221937893009 INDN:Cundi Fang CO ID:9580653001 PPD PMT INFO:Log in to the MY WM Account Page for pay ment details.","-590.17","34,277.43"
05/13/2026,"Perimeter Billia DES:SHOPIFY ID:I0A4A0D0V8M8 INDN:Attitude D LLC CO ID:STRIPE6088 CCD","46,000.00","80,277.43"
05/13/2026,"MOBILE COMMERCE DES:ACH Pmt ID:11219033879 INDN:ICAR LIFESTYLE CO ID:9200502235 CCD PMT INFO:1GNSKCKD8RR183751 Down payments -2","5,000.00","85,277.43"
05/13/2026,"Check 1032","-2,161.00","83,116.43"
05/13/2026,"Check 1064","-2,721.27","80,395.16"
05/14/2026,"WIRE TYPE:WIRE IN DATE: 260514 TIME:1503 ET TRN:2026051400489572 SEQ:2605141207533ESP/000502 ORIG:JEETENDRA JODHPURKAR ID:1569910 SND BK:UNITED BANK ID:056004445 PMT DET:REF: JEETENDRA JODHPURK AR /CATPURP/CTRC /LOCINS/CTRC","34,085.00","114,480.16"
05/14/2026,"WIRE TYPE:WIRE OUT DATE:260514 TIME:1533 ET TRN:2026051400505507 SERVICE REF:016826 BNF:ATTITUDE D LLC ID:00100834914 BNF BK:CATHAY BA NK ID:122203950 PMT DET:612612098","-19,600.00","94,880.16"
05/14/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-23,883.20","70,996.96"
05/14/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,731.36","69,265.60"
05/14/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $15","0.00","69,265.60"
05/14/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $30","0.00","69,265.60"
05/15/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","22,264.58","91,530.18"
05/15/2026,"Check 1026","-219.00","91,311.18"
05/15/2026,"Check 1033","-10,400.00","80,911.18"
05/18/2026,"Counter Credit","31,450.00","112,361.18"
05/18/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE8PF620250 ,2023-Tesla-Model Y ,","-31,822.77","80,538.41"
05/18/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,Audit FE E 2026/04/16 00:00:00.000 ,","-125.00","80,413.41"
05/19/2026,"ETTON INC DES:ATTITUDE D ID:R LIFESTYLE INDN:ATTITUDE D LLC DBA ICA CO ID:1992754675 CCD PMT INFO:TESLA","9,000.00","89,413.41"
05/19/2026,"Check 1028","-1,362.34","88,051.07"
05/19/2026,"Check 1030","-1,362.34","86,688.73"
05/19/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-24,617.87","62,070.86"
05/19/2026,"MANHEIM DES:ACH PAYMNT ID:ACH7354443 INDN:ICAR LIFESTYLE CO ID:1581936030 CCD PMT INFO:","-365.00","61,705.86"
05/20/2026,"MOBILE COMMERCE DES:ACH Pmt ID:11219959742 INDN:ICAR LIFESTYLE CO ID:9200502235 CCD PMT INFO:1GNSKCKD8RR183751 Down payment -3","5,000.00","66,705.86"
05/20/2026,"WIRE TYPE:WIRE OUT DATE:260520 TIME:1444 ET TRN:2026052000487096 SERVICE REF:015016 BNF:JTE AUTO GROUP ID:1921691 BNF BK:FIRST GENERAL BANK ID:122244061 PMT DET:613506062","-16,500.00","50,205.86"
05/20/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-24,577.03","25,628.83"
05/20/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-10,000.00","15,628.83"
05/20/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $30","0.00","15,628.83"
05/22/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","15,500.00","31,128.83"
05/22/2026,"WIRE TYPE:WIRE IN DATE: 260522 TIME:0618 ET TRN:2026052200282780 SEQ:US2605218680662/000346 ORIG:Jessica Manuel ID:36354792454 SND BK:CAPITAL ONE, NA ID:056073502 PMT DET:MMPKBHQAIYCLJFF VIN 4 T3RWRFV2NU052326 /CATPURP/CTRC /LOCINS/CTRC","6,000.00","37,128.83"
05/22/2026,"Check 1036","-3,986.00","33,142.83"
05/22/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $15","0.00","33,142.83"
05/26/2026,"Counter Credit","39,088.00","72,230.83"
05/26/2026,"Counter Credit","29,600.00","101,830.83"
05/26/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","29,000.00","130,830.83"
05/26/2026,"Zelle payment to enkhamar Amgalam Conf# osqvb4i3h","-1,350.00","129,480.83"
05/26/2026,"Check 1076","-1,347.91","128,132.92"
05/26/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE3PF852609 ,2023-Tesla-Model Y ,","-29,077.15","99,055.77"
05/26/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEF9PF910165 ,2023-Tesla-Model Y ,","-28,866.80","70,188.97"
05/26/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-8,929.89","61,259.08"
05/27/2026,"WIRE TYPE:BOOK OUT DATE:260527 TIME:1433 ET TRN:2026052700601162 RELATED REF:614484346 BNF:YUANZHEN WU ID:325103038874 PMT DET:TESLA MODE L Y","-11,627.64","49,631.44"
05/27/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-2,806.89","46,824.55"
05/27/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,924.19","44,900.36"
05/27/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,183.75","43,716.61"
05/27/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $30","0.00","43,716.61"
05/28/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","11,927.64","55,644.25"
05/28/2026,"Check 1007","-3,055.00","52,589.25"
05/28/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEE0PF976532 ,2023-TESLA-MODEL Y ,","-33,663.16","18,926.09"
05/28/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-3,741.11","15,184.98"
05/29/2026,"Counter Credit","5,000.00","20,184.98"
05/29/2026,"BANK OF AMERICA DES:PAYMENT ID:000527113711959 INDN:ATTITUDE D LLC CO ID:3941687655 PPD","300.00","20,484.98"
06/01/2026,"Zelle payment to Glass Conf# m89iyxrpt","-680.00","19,804.98"
06/01/2026,"Cash Deposit Processing","-45.00","19,759.98"
06/01/2026,"Excess Transaction Fee","-1.35","19,758.63"
06/02/2026,"BKOFAMERICA MOBILE 06/03 3735780370 DEPOSIT *MOBILE CA","39,892.00","59,650.63"
06/02/2026,"Zelle payment to Ji KIM for "loan fee"; Conf# nznc2p05m","-450.00","59,200.63"
06/02/2026,"Zelle payment to Ji KIM Conf# rt0cdes9e","-30.00","59,170.63"
06/03/2026,"BKOFAMERICA BC 06/03 #000001311 TO CHKG 336 E Huntington Arcadia CA","-25,400.00","33,770.63"
06/03/2026,"Check 1035","-2,000.00","31,770.63"
06/04/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","25,400.00","57,170.63"
06/04/2026,"BKOFAMERICA MOBILE 06/04 3737426512 DEPOSIT *MOBILE CA","4,500.00","61,670.63"
06/04/2026,"Zelle payment to Attitude D LLC Conf# lliq2hqdd","-1,500.00","60,170.63"
06/04/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-28,207.69","31,962.94"
06/04/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-2,445.47","29,517.47"
