Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/02/2026,"Zelle payment to Icar 27153616517",-2500.00,QUICKPAY_DEBIT,125080.94,,
CREDIT,01/02/2026,"Zelle payment from CUIPING SHI BACrqx7xhi4p",400.00,PARTNERFI_TO_CHASE,127580.94,,
CREDIT,01/02/2026,"ATM CHECK DEPOSIT 01/02 60 E HUNTINGTON DR ARCADIA CA",4000.00,ATM_DEPOSIT,127180.94,,
CREDIT,01/02/2026,"ATM CASH DEPOSIT 01/02 60 E HUNTINGTON DR ARCADIA CA",5000.00,ATM,123180.94,,
CREDIT,01/02/2026,"ATM CASH DEPOSIT 01/01 60 E HUNTINGTON DR ARCADIA CA",8700.00,ATM,118180.94,,
DEBIT,12/31/2025,"Zelle payment to lee JPM99c0fujx1",-1829.91,CHASE_TO_PARTNERFI,109480.94,,
DEBIT,12/31/2025,"Zelle payment to Zijie 27533745840",-1356.84,QUICKPAY_DEBIT,111310.85,,
DEBIT,12/31/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:123025 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232107972354 EED:251231   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :5UX23EU06S9W25247 ,2025-B M W-X SE ERIES     DYNAMIC EFT TRN: 3657972354TC",-698.57,ACH_DEBIT,112667.69,,
DEBIT,12/31/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:123025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000015411005 EED:251231   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3655411005TC",-26352.00,ACH_DEBIT,113366.26,,
DEBIT,12/31/2025,"Zelle payment to angel JPM99c0ckcpt",-120.00,CHASE_TO_PARTNERFI,139718.26,,
DEBIT,12/31/2025,"Zelle payment to raad auto JPM99c0c8ygb",-300.00,CHASE_TO_PARTNERFI,139838.26,,
CREDIT,12/31/2025,"Zelle payment from YAN LIU 27532454156",2000.00,QUICKPAY_CREDIT,140138.26,,
CREDIT,12/31/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:123025 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000015869095 EED:251231   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3655869095TC",22450.01,ACH_CREDIT,138138.26,,
CREDIT,12/31/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:123025 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000015869093 EED:251231   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3655869093TC",30274.00,ACH_CREDIT,115688.25,,
DSLIP,12/31/2025,"DEPOSIT  ID NUMBER 198682",58035.00,DEPOSIT,85414.25,,
DEBIT,12/30/2025,"Zelle payment to yicui JPM99c0b0xr7",-15.00,CHASE_TO_PARTNERFI,27379.25,,
DEBIT,12/30/2025,"Zelle payment to andra feng JPM99c0at376",-30.00,CHASE_TO_PARTNERFI,27394.25,,
DEBIT,12/30/2025,"ORIG CO NAME:NOWCOM, LLC            ORIG ID:1911718107 DESC DATE:       CO ENTRY DESCR:DEALERCNTRSEC:CCD    TRACE#:104000018820143 EED:251230   IND ID:M121403959066                IND NAME:ATTITUDE D LLC TRN: 3648820143TC",-1066.18,ACH_DEBIT,27424.25,,
DEBIT,12/30/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:122925 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000019292047 EED:251230   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3649292047TC",-4120.65,ACH_DEBIT,28490.43,,
DEBIT,12/30/2025,"ORIG CO NAME:Westlake Fin 323       ORIG ID:1222528269 DESC DATE:251229 CO ENTRY DESCR:Westlake  SEC:CCD    TRACE#:051000010356087 EED:251230   IND ID:000001802623972              IND NAME:ATTITUDE D LLC                                                                                               9003488 TRN: 3640356087TC",-19156.49,ACH_DEBIT,32611.08,,
DEBIT,12/30/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:122925 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000019292046 EED:251230   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3649292046TC",-32034.10,ACH_DEBIT,51767.57,,
CREDIT,12/30/2025,"Zelle payment from XU HAN BACkzcz9daeo",1000.00,PARTNERFI_TO_CHASE,83801.67,,
DEBIT,12/29/2025,"CA DMV LOS ANGELES BSC COVINA CA     423968  12/29",-1079.00,DEBIT_CARD,82801.67,,
DEBIT,12/29/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:122725 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232105228586 EED:251229   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :55SWF4JB2JU263558 ,2018-Mercedes-B Benz-C-ClaDYNAMIC EFT TRN: 3635228586TC",-17956.20,ACH_DEBIT,83880.67,,
DEBIT,12/29/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:122625 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232104076118 EED:251229   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :JTNABAAE7RA012597 ,2024-Toyota-GR   Corolla  DYNAMIC EFT TRN: 3634076118TC",-3352.10,ACH_DEBIT,101836.87,,
DEBIT,12/29/2025,"Zelle payment to 1md JPM99c04dqsh",-1000.00,CHASE_TO_PARTNERFI,105188.97,,
DEBIT,12/29/2025,"Zelle payment to angel JPM99c013kbf",-225.00,CHASE_TO_PARTNERFI,106188.97,,
DEBIT,12/29/2025,"ORIG CO NAME:CA DEPT TAX FEE        ORIG ID:2822162215 DESC DATE:251229 CO ENTRY DESCR:CDTFA EPMTSEC:CCD    TRACE#:042000010956302 EED:251229   IND ID:23168240                     IND NAME:ATTITUDE D LLC TRN: 3630956302TC",-20836.28,ACH_DEBIT,106413.97,,
DEBIT,12/29/2025,"Zelle payment to ch JPM99bzx2o31",-105.00,CHASE_TO_PARTNERFI,127250.25,,
CREDIT,12/29/2025,"Zelle payment from ZIJIE JIANG 27488887784",50.00,QUICKPAY_CREDIT,127355.25,,
CREDIT,12/29/2025,"ORIG CO NAME:Perimeter Billia       ORIG ID:STRIPE6088 DESC DATE:SD1310 CO ENTRY DESCR:SHOPIFY   SEC:CCD    TRACE#:242071753378203 EED:251229   IND ID:W7K7I2C2J6Y1                 IND NAME:ATTITUDE D LLC                                                                                               STRIPE6088 TRN: 3633378203TC",11000.00,ACH_CREDIT,127305.25,,
CREDIT,12/29/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:122625 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000010609099 EED:251229   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3630609099TC",27898.27,ACH_CREDIT,116305.25,,
CHECK,12/26/2025,"CHECK 1102  12/26",-32000.00,CHECK_PAID,88406.98,1102,
DEBIT,12/26/2025,"ORIG CO NAME:MANHEIM                ORIG ID:1581936030 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000014250765 EED:251226   IND ID:ACH6967825                   IND NAME:ICAR LIFESTYLE TRN: 3604250765TC",-135.00,ACH_DEBIT,120406.98,,
DEBIT,12/26/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:122425 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000014437495 EED:251226   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3604437495TC",-26025.36,ACH_DEBIT,120541.98,,
CREDIT,12/26/2025,"Zelle payment from CHELSEA STITT 27471743479",1000.00,QUICKPAY_CREDIT,146567.34,,
CREDIT,12/26/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000015031948 EED:251226   IND ID:18047257                     IND NAME:ICAR LIFESTYLE                                                                                               6037681 TRN: 3605031948TC",18170.00,ACH_CREDIT,145567.34,,
CREDIT,12/26/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:122425 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000014369847 EED:251226   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3604369847TC",42855.49,ACH_CREDIT,127397.34,,
CREDIT,12/26/2025,"ORIG CO NAME:Perimeter Billia       ORIG ID:STRIPE6088 DESC DATE:SD1920 CO ENTRY DESCR:SHOPIFY   SEC:CCD    TRACE#:242071755524933 EED:251226   IND ID:N2C8T5E5Y1U5                 IND NAME:ATTITUDE D LLC                                                                                               STRIPE6088 TRN: 3605524933TC",50000.00,ACH_CREDIT,84541.85,,
DEBIT,12/24/2025,"Zelle payment to ch JPM99bzp2obz",-1835.00,CHASE_TO_PARTNERFI,34541.85,,
DEBIT,12/24/2025,"Zelle payment to harv JPM99bzos127",-700.00,CHASE_TO_PARTNERFI,36376.85,,
DEBIT,12/24/2025,"Zelle payment to JACKIE 27454433509",-14.53,QUICKPAY_DEBIT,37076.85,,
DEBIT,12/24/2025,"Zelle payment to abcd 27452861002",-300.00,QUICKPAY_DEBIT,37091.38,,
DEBIT,12/24/2025,"Zelle payment to wsc 27452152711",-900.00,QUICKPAY_DEBIT,37391.38,,
DEBIT,12/24/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:122325 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232105739543 EED:251224   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :55SWF4JB2JU263558 ,2018-Mercedes-B Benz-C-ClaDYNAMIC EFT TRN: 3585739543TC",-1353.08,ACH_DEBIT,38291.38,,
DEBIT,12/24/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:122325 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232105739533 EED:251224   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :W1N0G8DB3NG093397 ,2022-Mercedes-B Benz-GLC  DYNAMIC EFT TRN: 3585739533TC",-1936.64,ACH_DEBIT,39644.46,,
CREDIT,12/24/2025,"ORIG CO NAME:MOBILE COMMERCE        ORIG ID:9200502235 DESC DATE:251224 CO ENTRY DESCR:ACH Pmt   SEC:CCD    TRACE#:021000023146173 EED:251224   IND ID:11200673053                  IND NAME:ATTITUDE D LLC DBA ICA     1GYS3KKL5PR212203 downpayment TRN: 3583146173TC",5000.00,ACH_CREDIT,41581.10,,
DEBIT,12/23/2025,"Zelle payment to ch JPM99bzkm2je",-1296.00,CHASE_TO_PARTNERFI,36581.10,,
DEBIT,12/23/2025,"Zelle payment to alex tesla JPM99bzirvhy",-750.00,CHASE_TO_PARTNERFI,37877.10,,
DEBIT,12/23/2025,"ORIG CO NAME:WASTE MANAGEMENT       ORIG ID:9580653001 DESC DATE:251221 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:021000022303524 EED:251223   IND ID:000221937893009              IND NAME:Cundi Fang                 Log in to the MY WM Account Page fo r payment details. TRN: 3572303524TC",-277.55,ACH_DEBIT,38627.10,,
DEBIT,12/23/2025,"Zelle payment to jep JPM99bzgaqat",-300.00,CHASE_TO_PARTNERFI,38904.65,,
DEBIT,12/23/2025,"SHIP SAVING 833-387-7396 CA                  12/23",-26.26,DEBIT_CARD,39204.65,,
DEBIT,12/23/2025,"CENTRALDISPATCH.COM 858-259-6084 NY          12/22",-199.95,DEBIT_CARD,39230.91,,
CREDIT,12/23/2025,"Zelle payment from DREW A KRINGEL 27432725449",2000.00,QUICKPAY_CREDIT,39430.86,,
DSLIP,12/23/2025,"DEPOSIT  ID NUMBER 490522",9500.00,DEPOSIT,37430.86,,
DSLIP,12/23/2025,"REMOTE ONLINE DEPOSIT #          1",10000.00,CHECK_DEPOSIT,27930.86,1,
DEBIT,12/22/2025,"Zelle payment to suburban JPM99bzfisbf",-500.00,CHASE_TO_PARTNERFI,17930.86,,
DEBIT,12/22/2025,"ONLINE DOMESTIC WIRE TRANSFER VIA: BK AMER NYC/026009593 A/C: YICUI EL MONTE CA 91732 US REF: 430PAYOFF IMAD: 1222MMQFMP2N038574 TRN: 3900855356ES 12/22",-30909.00,WIRE_OUTGOING,18430.86,,
DEBIT,12/22/2025,"Zelle payment to Ovis JPM99bzef2oi",-150.00,CHASE_TO_PARTNERFI,49339.86,,
DEBIT,12/22/2025,"Zelle payment to alber 27415013393",-1000.00,QUICKPAY_DEBIT,49489.86,,
DEBIT,12/22/2025,"Zelle payment to godfather  27410440646",-200.00,QUICKPAY_DEBIT,50489.86,,
DEBIT,12/22/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121925 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000016173143 EED:251222   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3566173143TC",-5000.79,ACH_DEBIT,50689.86,,
DEBIT,12/22/2025,"Zelle payment to clean JPM99bz43nnc",-150.00,CHASE_TO_PARTNERFI,55690.65,,
DEBIT,12/22/2025,"DEPOSITED ITEM RETURNED       Endorse Missing099014154                                       # OF ITEMS00001CK#:0220665170                                        DEP AMT               DEP DATE010101CK AMT0000950000",-9500.00,DEPOSIT_RETURN,55840.65,,
CREDIT,12/22/2025,"Zelle payment from NAIRUOLAN SU BACudbo0nzey",300.00,PARTNERFI_TO_CHASE,65340.65,,
DSLIP,12/22/2025,"REMOTE ONLINE DEPOSIT #          1",20000.00,CHECK_DEPOSIT,65040.65,1,
DEBIT,12/19/2025,"Zelle payment to godfather  27398686065",-1000.00,QUICKPAY_DEBIT,45040.65,,
DEBIT,12/19/2025,"Zelle payment to shangqi li JPM99byxe50l",-1829.19,CHASE_TO_PARTNERFI,46040.65,,
DEBIT,12/19/2025,"HELP HALF PLUS INC. 833-387-7396 CA          12/19",-11.49,DEBIT_CARD,47869.84,,
DEBIT,12/19/2025,"HELP HALF PLUS INC. 833-387-7396 CA          12/19",-28.28,DEBIT_CARD,47881.33,,
CHECK,12/18/2025,"CHECK 1119  ",-774.77,CHECK_PAID,47909.61,1119,
CHECK,12/18/2025,"CHECK 1118  ",-984.42,CHECK_PAID,48684.38,1118,
CHECK,12/18/2025,"CHECK 1117  ",-1356.84,CHECK_PAID,49668.80,1117,
DEBIT,12/18/2025,"Zelle payment to ting to 27381252096",-1356.84,QUICKPAY_DEBIT,51025.64,,
CREDIT,12/18/2025,"ORIG CO NAME:MOBILE COMMERCE        ORIG ID:9200502235 DESC DATE:251218 CO ENTRY DESCR:ACH Pmt   SEC:CCD    TRACE#:021000029419054 EED:251218   IND ID:11199926181                  IND NAME:ATTITUDE D LLC DBA ICA TRN: 3529419054TC",4500.00,ACH_CREDIT,52382.48,,
DSLIP,12/18/2025,"REMOTE ONLINE DEPOSIT #          1",9500.00,CHECK_DEPOSIT,47882.48,1,
DEBIT,12/17/2025,"Zelle payment to egtransport JPM99byru4a3",-1000.00,CHASE_TO_PARTNERFI,38382.48,,
DEBIT,12/17/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121625 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000010379563 EED:251217   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3510379563TC",-66187.20,ACH_DEBIT,39382.48,,
CREDIT,12/17/2025,"FEDWIRE CREDIT VIA: REGIONS BANK/062005690 B/O: LENDBUZZ FUNDING LLC BOSTON MA 02110 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=NOTPROVIDED OBI=/URI/ZN682A VM1P7432224 : 2302727 BBI=/ACC/4768 86X2302727 IMAD: 1217F2QCZ00C001925 TRN: 0752571351FF",20181.52,WIRE_INCOMING,105569.68,,
DEBIT,12/16/2025,"Zelle payment to ch JPM99byognfp",-185.00,CHASE_TO_PARTNERFI,85388.16,,
DEBIT,12/16/2025,"Zelle payment to Ifinity JPM99bynqvxz",-700.00,CHASE_TO_PARTNERFI,85573.16,,
DEBIT,12/16/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000011026052 EED:251216   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3501026052TC",-2619.34,ACH_DEBIT,86273.16,,
DEBIT,12/16/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000011026054 EED:251216   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3501026054TC",-3024.43,ACH_DEBIT,88892.50,,
DEBIT,12/16/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000011026053 EED:251216   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3501026053TC",-3285.06,ACH_DEBIT,91916.93,,
DEBIT,12/16/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000011041050 EED:251216   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3501041050TC",-39903.87,ACH_DEBIT,95201.99,,
DEBIT,12/16/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000011041051 EED:251216   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3501041051TC",-42867.58,ACH_DEBIT,135105.86,,
CREDIT,12/16/2025,"Zelle payment from JINGHAN BAO BACtau2tx2v7",500.00,PARTNERFI_TO_CHASE,177973.44,,
CREDIT,12/16/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:121525 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000011040816 EED:251216   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3501040816TC",87200.00,ACH_CREDIT,177473.44,,
DEBIT,12/15/2025,"Zelle payment to Ji hvk JPM99byjoakp",-880.00,CHASE_TO_PARTNERFI,90273.44,,
DEBIT,12/15/2025,"Zelle payment to egtransport JPM99byjfafx",-750.00,CHASE_TO_PARTNERFI,91153.44,,
DEBIT,12/15/2025,"ONLINE DOMESTIC WIRE TRANSFER VIA: WELLS FARGO NA/121000248 A/C: MENGCHENG XIANG SAN JOSE CA 95117 US REF: BMW 430/TIME/17:20 IMAD: 1215MMQFMP2N025863 TRN: 3587035349ES 12/15",-28500.00,WIRE_OUTGOING,91903.44,,
DEBIT,12/15/2025,"Zelle payment to kingstone 27323370238",-1056.48,QUICKPAY_DEBIT,120403.44,,
DEBIT,12/15/2025,"ORIG CO NAME:EMPLOYMENT DEVEL       ORIG ID:2282533055 DESC DATE:121225 CO ENTRY DESCR:EDD EFTPMTSEC:CCD    TRACE#:042000019476984 EED:251215   IND ID:690514400                    IND NAME:ICAR LIFESTYLE                                                                                               PAYMENT TRN: 3499476984TC",-544.84,ACH_DEBIT,121459.92,,
DEBIT,12/15/2025,"ORIG CO NAME:IRS                    ORIG ID:3387702000 DESC DATE:121525 CO ENTRY DESCR:USATAXPYMTSEC:CCD    TRACE#:061036019870320 EED:251215   IND ID:223574945538308              IND NAME:CEO ATTITUDE D LLC TRN: 3499870320TC",-2856.80,ACH_DEBIT,122004.76,,
DEBIT,12/15/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121225 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000010035140 EED:251215   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3490035140TC",-21309.04,ACH_DEBIT,124861.56,,
CREDIT,12/15/2025,"Zelle payment from Xiao Zheng USBF7IHouXIQ",2200.00,PARTNERFI_TO_CHASE,146170.60,,
DSLIP,12/15/2025,"REMOTE ONLINE DEPOSIT #          1",65724.00,CHECK_DEPOSIT,143970.60,1,
DEBIT,12/12/2025,"ORIG CO NAME:CA DEPT TAX FEE        ORIG ID:2822162215 DESC DATE:251211 CO ENTRY DESCR:CDTFA EPMTSEC:CCD    TRACE#:042000018176009 EED:251212   IND ID:22974445                     IND NAME:ICAR LIFESTYLE TRN: 3468176009TC",-28161.68,ACH_DEBIT,78246.60,,
CREDIT,12/12/2025,"Zelle payment from ZIJIE JIANG 27307994425",55.00,QUICKPAY_CREDIT,106408.28,,
CREDIT,12/12/2025,"Zelle payment from MOBILE COMMERCE INC 27294736824",500.00,QUICKPAY_CREDIT,106353.28,,
CREDIT,12/12/2025,"Zelle payment from MINGZHU WANG 27305195446",2000.00,QUICKPAY_CREDIT,105853.28,,
CREDIT,12/12/2025,"FEDWIRE CREDIT VIA: BANK OF AMERICA, N.A./026009593 B/O: 1/TIAN ZHOU 3/US/LOS ANGELES, CA 90013-2796 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=NOTPROVIDED OBI=/URI/POP GO ODS BBI=/CHGS/USD0,00/ IMAD: 1212B6B7HU3R020402 TRN: 1247011346FF",30000.00,WIRE_INCOMING,103853.28,,
DEBIT,12/11/2025,"Zelle payment to egtransport JPM99by14hrb",-700.00,CHASE_TO_PARTNERFI,73853.28,,
DEBIT,12/11/2025,"Zelle payment to andra feng JPM99by0du1r",-30.00,CHASE_TO_PARTNERFI,74553.28,,
DEBIT,12/11/2025,"Zelle payment to Cristina turcin JPM99bxz7o5f",-900.00,CHASE_TO_PARTNERFI,74583.28,,
DEBIT,12/11/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:121025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000015667546 EED:251211   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3455667546TC",-32348.63,ACH_DEBIT,75483.28,,
DEBIT,12/11/2025,"Zelle payment to cui JPM99bxxh69e",-300.00,CHASE_TO_PARTNERFI,107831.91,,
DEBIT,12/11/2025,"HELP HALF PLUS INC. 833-387-7396 CA          12/11",-11.49,DEBIT_CARD,108131.91,,
DEBIT,12/11/2025,"HELP HALF PLUS INC. 833-387-7396 CA          12/11",-31.35,DEBIT_CARD,108143.40,,
DEBIT,12/11/2025,"HELP HALF PLUS INC. 833-387-7396 CA          12/11",-31.35,DEBIT_CARD,108174.75,,
